"code","description","season_start","season_end","time_max_parking","time_start","time_end","time_duration","lun","mar","mer","jeu","ven","sam","dim","daily","special_days","restrict_typ"
"SLR-ST-112","18H MAR À 18H MER - 18H JEU À 18H VEN - 18H SAM À 18H LUN",,,,18,,48,,,,,,1,,,,
"SLR-ST-135","30 MIN - MAR MER VEN - 9H À 16H30 - LUN JEU - 12H À 16H30",,,30,12,"16.5","4.5",1,,,1,,,,,,
"SLR-ST-135","30 MIN - MAR MER VEN - 9H À 16H30 - LUN JEU - 12H À 16H30",,,30,9,"16.5","7.5",,1,1,,1,,,,,
"GS-A-07","STATIONNEMENT PAYANT...",,,,0,24,24,,,,,,,,1,,"paid"
"SLR-ST-172","120 MIN - LUN 17H À MAR 17H - MER 17H À JEU 17H - VEN 17H À SAM 17H",,,120,17,,24,1,,,,,,,,,
"SLR-ST-172","120 MIN - LUN 17H À MAR 17H - MER 17H À JEU 17H - VEN 17H À SAM 17H",,,120,17,,24,,,,,1,,,,,
"SLR-ST-172","120 MIN - LUN 17H À MAR 17H - MER 17H À JEU 17H - VEN 17H À SAM 17H",,,120,17,,24,,,1,,,,,,,
"SLR-ST-173","120 MIN - LUN 18H À MAR 18H - MER 18H À JEU 18H - VEN 18H À SAM 18H",,,120,18,,24,1,,,,,,,,,
"SLR-ST-173","120 MIN - LUN 18H À MAR 18H - MER 18H À JEU 18H - VEN 18H À SAM 18H",,,120,18,,24,,,,,1,,,,,
"SLR-ST-173","120 MIN - LUN 18H À MAR 18H - MER 18H À JEU 18H - VEN 18H À SAM 18H",,,120,18,,24,,,1,,,,,,,
"SLR-ST-174","120 MIN - MAR 17H À MER 17H - JEU 17H À VEN 17H - SAM 17H À LUN 17H",,,120,17,,24,,,,1,,,,,,
"SLR-ST-174","120 MIN - MAR 17H À MER 17H - JEU 17H À VEN 17H - SAM 17H À LUN 17H",,,120,17,,24,,1,,,,,,,,
"SLR-ST-174","120 MIN - MAR 17H À MER 17H - JEU 17H À VEN 17H - SAM 17H À LUN 17H",,,120,17,,48,,,,,,1,,,,
"SLR-ST-175","120 MIN - MAR 18H À MER 18H - JEU 18H À VEN 18H - SAM 18H À LUN 18H",,,120,18,,24,,,,1,,,,,,
"SLR-ST-175","120 MIN - MAR 18H À MER 18H - JEU 18H À VEN 18H - SAM 18H À LUN 18H",,,120,18,,24,,1,,,,,,,,
"SLR-ST-175","120 MIN - MAR 18H À MER 18H - JEU 18H À VEN 18H - SAM 18H À LUN 18H",,,120,18,,48,,,,,,1,,,,
"SLR-ST-27","6H Ã  12H LUNDI",,,,6,12,6,1,,,,,,,,,
"SLR-ST-28","7H Ã  13H LUNDI",,,,7,13,6,1,,,,,,,,,
"SLR-ST-33","9H Ã  12H - LUNDI - 15 AVR au 15 NOV",04-15,11-15,,9,12,3,1,,,,,,,,,
"SLR-ST-42","9H À 12H - MARDI - 15 AVR AU 15 NOV",04-15,11-15,,9,12,3,,1,,,,,,,,
"SLR-ST-59","7H À 12H LUN ET JEU",,,,7,12,5,1,,,1,,,,,,
"SLR-ST-60","7H À 12H LUN ET JEU (NON CONFORME)",,,,7,12,5,1,,,1,,,,,,
"SLR-ST-68","8H À 17H - LUN MER VEN",,,,8,17,9,1,,1,,1,,,,,
"SLR-ST-70","8H À 18H LUN MER VEN",,,,8,18,10,1,,1,,1,,,,,
"SLR-ST-79","8H À 12H LUN MER VEN 13H À 18H MAR JEU",,,,8,12,4,1,,1,,1,,,,,
"SLR-ST-79","8H À 12H LUN MER VEN 13H À 18H MAR JEU",,,,13,18,5,,1,,1,,,,,,
"SLR-ST-80","LUN 17H À MAR 17H - MER 17H À JEU 17H - VEN 17H À SAM 17H",,,,17,,24,1,,,,,,,,,
"SLR-ST-80","LUN 17H À MAR 17H - MER 17H À JEU 17H - VEN 17H À SAM 17H",,,,17,,24,,,,,1,,,,,
