name,operator,address,description,lun_normal,mar_normal,mer_normal,jeu_normal,ven_normal,sam_normal,dim_normal,hourly_normal,daily_normal,max_normal,lun_special,mar_special,mer_special,jeu_special,ven_special,sam_special,dim_special,hourly_special,daily_special,max_special,lun_free,mar_free,mer_free,jeu_free,ven_free,sam_free,dim_free,daily_free,indoor,handicap,card,valet,lat,long,capacity,street_view_lat,street_view_long,street_view_head,street_view_id,active
Via Rail Ste-Foy,Vinci,"3255, Chemin de la Gare",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",10,10,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,TRUE,FALSE,46.754474,-71.297938,126,46.7544594,-71.2982278,69.17,6916Vnj09QUiVeMYUz9WDA,TRUE
2120- 2140 Chemin Sainte Foy,Vinci,"785, avenue Myrand",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",2,7,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,TRUE,FALSE,46.789502,-71.270847,50,46.7893966,-71.2709532,34.51,NmdsmL4AyRT5sf0V966QRw,TRUE
Clinique Saint-Louis,Vinci,"3165, chemin Saint-Louis",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",4,12,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,TRUE,FALSE,46.756229,-71.295392,160,46.7565377,-71.2955741,173.97,VEusn62z5NOrjpmQzz1amA,TRUE
Caisse Desjardins de Sillery,Vinci,"1444, avenue Maguire",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",4.5,11,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,TRUE,FALSE,46.780269,-71.249748,56,46.7804039,-71.2496923,223.08,vSOs7xprCc7M1Kp9B27uSw,TRUE
Les Jardins Du Vallon,Vinci,"2310, avenue Chapdelaine",,"0,24","0,24","0,24","0,24","0,24",,,2,9,,,,,,,"0,24","0,24",2,9,,,,,,,,,,FALSE,FALSE,TRUE,FALSE,46.787633,-71.280504,325,46.7875362,-71.2800357,297.97,hBlybStPH2I3fwexxumdAg,TRUE
2371-2373-2375 rue Nicolas-Pinel,Vinci,"2375, rue Nicolas-Pinel",,"0,24","0,24","0,24","0,24","0,24",,,3,9,,,,,,,"0,24","0,24",3,5,,,,,,,,,,FALSE,FALSE,TRUE,FALSE,46.786976,-71.284136,124,46.7873386,-71.2842325,255.24,S15rgb2TKOUlrhwonh8wqQ,TRUE
INRS,Vinci,"490, rue de la Couronne",,"0,24","0,24","0,24","0,24","0,24",,,5,14,,,,,,,"0,24","0,24",5,6,,,,,,,,,,TRUE,TRUE,TRUE,FALSE,46.812639,-71.224195,303,46.8126033,-71.2240058,329.79,m425A1sxkXh_hmTqBBi77g,TRUE
140 Grande-Allée Est,Vinci,"140, Grande-Allée Est",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",4,16,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,FALSE,46.803307,-71.223041,385,46.8032114,-71.2232985,48.76,nB1DUoIObpZXJq3pOCidXA,TRUE
Monastère des Augustines,Vinci,"75, rue des Remparts",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",4,16,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,TRUE,TRUE,46.816051,-71.21032,38,46.8163454,-71.210166,142.33,6GSOxQO-hy2BgnF4K0nq2w,TRUE
1363 avenue Maguire,Vinci,"1363, avenue Maguire",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",1.75,14,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,TRUE,FALSE,46.780241,-71.25102,31,46.7801761,-71.2505795,267.97,0ensNOecdXj1UKGQkzOyJw,TRUE
La Jetée,Vinci,"150, rue Dalhousie",,"17,24","17,24","17,24","17,24","17,24","0,24","0,24",4,12,,"0,7","0,7","0,7","0,7","0,7",,,4,12,,,,,,,,,,FALSE,FALSE,TRUE,FALSE,46.817812,-71.203009,28,46.8178256,-71.2026735,283.54,INvk0j9eVMGcY668yjDlTA,TRUE
990 de Bourgogne,Vinci,"990, avenue de Bourgogne",,"6,18","6,18","6,18","6,18","6,18",,,4,10,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,TRUE,FALSE,46.765139,-71.311069,250,46.7657457,-71.3106503,294.67,HT-WPxm3RoMoN2fANoQvrQ,TRUE
Mérici,Vinci,"801, Grande-Allée Ouest",,"7,18","7,18","7,18","7,18","7,18",,,4,12,,,,,,,,,,5,,,,,,,,,,TRUE,TRUE,TRUE,FALSE,46.794659,-71.233773,414,46.7945346,-71.2342989,73.65,c-1xLjjqb2QySYEZIVfSqg,TRUE
925 Grande-Allée ouest,Vinci,"925, chemin St-Louis",,"7.5,17.5","7.5,17.5","7.5,17.5","7.5,17.5","7.5,17.5",,,5,14,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,FALSE,46.793606,-71.235846,450,46.7934143,-71.23615,42.94,CMP0iscDP6uB5DcNQ-yFIA,TRUE
