code,description,season_start,season_end,time_max_parking,time_start,time_end,time_duration,lun,mar,mer,jeu,ven,sam,dim,daily,special_days,metered,restrict_typ,permit_no
PS-106CB,2 HOUR PARKING 10AM-4PM EXCEPT SUNDAY,,,120,10,16,6,1,1,1,1,1,1,,,,,,
PS-107B,NO PARKING  SATURDAY 7AM-7:30AM,,,,7,7.5,0.5,,,,,,1,,,,,,
PS-107BA,NO PARKING  SATURDAY 7AM-7:30AM ,,,,7,7.5,0.5,,,,,,1,,,,,,
PS-107C,2 HOUR METERED PARKING 9AM-4PM EXCEPT SUNDAY,,,120,9,16,7,1,1,1,1,1,1,,,,1,,
PS-107CA,2 HOUR METERED PARKING 9AM-4PM EXCEPT SUNDAY ,,,120,9,16,7,1,1,1,1,1,1,,,,1,,
PS-107DA,STAR  AVO NATIONAL PARK SERVICE 8AM-6PM ALL DAYS ,,,,8,18,10,,,,,,,,1,,,government,
PS-107E,TAXI HAIL  TAXI STAND MONDAY-FRIDAY 7AM-5PM,,,,7,17,10,1,1,1,1,1,,,,,,taxi,
PS-107G,NO STANDING TUESDAY-FRIDAY 9AM-5PM,,,,9,17,8,,1,1,1,1,,,,,,,
PS-107GA,NO STANDING TUESDAY-FRIDAY 9AM-5PM ,,,,9,17,8,,1,1,1,1,,,,,,,
PS-108B,NO PARKING  7:30AM-9AM EXCEPT SUNDAY,,,,7.5,9,1.5,1,1,1,1,1,1,,,,,,
PS-108C,1 HOUR METERED PARKING 8AM-8PM EXCEPT SUNDAY,,,60,8,20,12,1,1,1,1,1,1,,,,1,,
PS-108CA,1 HOUR METERED PARKING 8AM-8PM EXCEPT SUNDAY ,,,60,8,20,12,1,1,1,1,1,1,,,,1,,
PS-108DA,STAR  AVO SALVATION ARMY ,,,,0,24,24,,,,,,,,1,,,authorized,
PS-108G,NO STANDING 9PM-6AM ALL DAYS,,,,0,6,6,,,,,,,,1,,,,
PS-108G,NO STANDING 9PM-6AM ALL DAYS,,,,21,24,3,,,,,,,,1,,,,
PS-108GA,NO STANDING 9PM-6AM ALL DAYS ,,,,0,6,6,,,,,,,,1,,,,
PS-108GA,NO STANDING 9PM-6AM ALL DAYS ,,,,21,24,3,,,,,,,,1,,,,
PS-109B,NO PARKING  MONDAY 8AM-9:30AM,,,,8,9.5,1.5,1,,,,,,,,,,,
PS-109BA,NO PARKING  MONDAY 8AM-9:30AM ,,,,8,9.5,1.5,1,,,,,,,,,,,
