"ID","Code","Description","season_start","season_end","time_max_parking","time_start","time_end","time_duration","LUN","MAR","MER","JEU","VEN","SAM","DIM","DAILY","special_days","restrict_type"
66,"SLR-ST-82","LUN MER VEN 8H À 12H - MAR JEU 13H À 17H",,,,13,17,4,,1,,1,,,,,,
67,"SLR-ST-84","LUN MER VEN 8H À 12H - MAR JEU 14H À 17H",,,,8,12,4,1,,1,,1,,,,,
67,"SLR-ST-84","LUN MER VEN 8H À 12H - MAR JEU 14H À 17H",,,,14,17,3,,1,,1,,,,,,
68,"SLR-ST-89","8H À 17H MAR JEU",,,,8,17,9,,1,,1,,,,,,
69,"SLR-ST-93","8H À 18H MAR JEU",,,,8,18,10,,1,,1,,,,,,
71,"SB-AA","\P 07h-09h LUNDI JEUDI 1 MARS AU 1 DEC.","01-03","12-01",,7,9,2,1,,,1,,,,,,
72,"SB-AA-A","\P 07h-09h LUNDI JEUDI 1 AVRIL AU 1 DEC.","01-04","12-01",,7,9,2,1,,,1,,,,,,
73,"SB-AB","\P 06h30-07h30 MAR. VEN. 1 MARS AU 1 DEC.","03-01","12-01",,6.5,7.5,1,,1,,,1,,,,,
74,"SB-AB-A","\P 06h30-07h30 MAR. VEN. 1 AVRIL AU 1 DEC.","04-01","12-01",,6.5,7.5,1,,1,,,1,,,,,
75,"SB-AC","\P 09h-12h MAR. VEN.",,,,9,12,3,,1,,,1,,,,,
76,"SB-AE","\P 06h30-07h30 LUN. JEU. 1 MARS AU 1 DEC.","03-01","12-01",,6.5,7.5,1,1,,,1,,,,,,
77,"SB-AE-A","\P 06h30-07h30 LUN. JEU. 1 AVIL AU 1 DEC.","04-01","12-01",,6.5,7.5,1,1,,,1,,,,,,
78,"SB-AF","\P 09h-12h LUN. JEU. 1 MARS AU 1 DEC.","03-01","12-01",,9,12,3,1,,,1,,,,,,
79,"SB-AF-A","\P 09h-12h LUN. JEU. 1 AVRILAU 1 DEC.","04-01","12-01",,9,12,3,1,,,1,,,,,,
80,"SB-AG","\P 08h-11h LUN. JEU. 1 MARS AU 1 DEC.","03-01","12-01",,8,11,3,1,,,1,,,,,,
81,"SB-AH","\P 08h-11h MAR. VEN. 1MARS AU 1 DEC.","03-01","12-01",,8,11,3,,1,,,1,,,,,
82,"SB-AH-A","\P 08h-11h MAR. VEN. 1AVRIL AU 1 DEC.","04-01","12-01",,8,11,3,,1,,,1,,,,,
83,"SB-AI","\P 07h-09h MAR. ET VEN. 1er MARS AU 1er DEC.","03-01","12-01",,7,9,2,,1,,,1,,,,,
84,"SB-AI-A","\P 07h-09h MAR. ET VEN. 1er AVRIL AU 1er DEC.","04-01","12-01",,7,9,2,,1,,,1,,,,,
85,"SB-AJ","\P 09h-12h LUNDI VENDREDI",,,,9,12,3,1,,,,1,,,,,
86,"SB-AM","\P 09h-10h LUNDI, JEUDI",,,,9,10,1,1,,,1,,,,,,
87,"SB-AN","\P 10h-11h LUNDI, JEUDI",,,,10,11,1,1,,,1,,,,,,
88,"SB-AP","\P 09h30-10h30 LUNDI, JEUDI",,,,9.5,10.5,1,1,,,1,,,,,,
89,"SB-AS","\P 07h-09h MAR. JEU. 1 MARS AU 1 DEC.","03-01","12-01",,7,9,2,,1,,1,,,,,,
90,"SB-AS-A","\P 07h-09h MAR. JEU. 1 AVRIL AU 1 DEC.","04-01","12-01",,7,9,2,,1,,1,,,,,,
91,"SB-AT","\P 06h-07h LUNDI, JEUDI, 1 MARS AU 1 DEC.","03-01","12-01",,6,7,1,1,,,1,,,,,,
92,"SB-AT-A","\P 06h-07h LUNDI, JEUDI, 1 AVRIL AU 1 DEC.","04-01","12-01",,6,7,1,1,,,1,,,,,,
93,"SB-AU","\P 10h30-11h30 MARDI, JEUDI",,,,10.5,11.5,1,,1,,1,,,,,,
94,"SB-AW","\P 07h-09h LUN ET MER 1 MARS AU 1 DEC.","03-01","12-01",,7,9,2,1,,1,,,,,,,
95,"SB-AW-A","\P 07h-09h LUN ET MER 1 AVRIL AU 1 DEC.","04-01","12-01",,7,9,2,1,,1,,,,,,,
96,"SB-AY","STAT. INT. MAR ET VEN DE 10H30 - 11H30",,,,10.5,11.5,1,,1,,,1,,,,,
97,"SB-AZ-A","\P 08h30-11h30 LUN. MER. 1 AVRIL AU 1 DEC.","04-01","12-01",,8.5,11.5,3,1,,1,,,,,,,
98,"SB-BA-A","\P 08h-09h30 MAR. JEU. 1 AVRIL AU 1 DEC.","04-01","12-01",,8,9.5,1.5,,1,,1,,,,,,
99,"SB-BA-A+F","\P 08h-09h30 MAR. JEU. 1 AVRIL AU 1 DEC.","04-01","12-01",,8,9.5,1.5,,1,,1,,,,,,
100,"SB-BB-A","\P 08h30-11h30 MAR. JEU. 1 AVRIL AU 1 DEC","04-01","12-01",,8.5,11.5,3,,1,,1,,,,,,
101,"SB-BD","\P 09h-12h MARDI JEUDI",,,,9,12,3,,1,,1,,,,,,
102,"SB-BE-A","\P 07h30-08h30 MER. VEN. 1 AVRIL AU 1 DEC.","04-01","12-01",,7.5,8.5,1,,,1,,1,,,,,
103,"SB-BF","\P 07h-09h LUN. MER. 1 MARS AU 1 DEC.","03-01","12-01",,7,9,2,1,,1,,,,,,,
104,"SB-BF-A","\P 07h-09h LUN. MER. 1 AVRIL AU 1 DEC.","04-01","12-01",,7,9,2,1,,1,,,,,,,
105,"SB-BG","\P 07h-09h MAR. JEU. 1 MARS AU 1 DEC.","03-01","12-01",,7,9,2,,1,,1,,,,,,
106,"SB-BG-A","\P 07h-09h MAR. JEU. 1 AVRIL AU 1 DEC.","04-01","12-01",,7,9,2,,1,,1,,,,,,
107,"SB-BJ","\P 09h-11h LUN. JEU.",,,,9,11,2,1,,,1,,,,,,
108,"SB-BK","\P 09h-11h MAR. MER.",,,,9,11,2,,1,1,,,,,,,
109,"SB-BL-A","\P 07h-08h MER. VEN. 1 AVRIL AU 1 DEC.","04-01","12-01",,7,8,1,,,1,,1,,,,,
110,"SB-DB","\P 13h-15h30 MARDI, VENDREDI",,,,13,15.5,2.5,,1,,,1,,,,,
111,"SB-EB","\P 17h-18h MER. VEN. 1ER MARS AU 1ER DEC.","03-01","12-01",,17,18,1,,,1,,1,,,,,
112,"SB-FA","\P 19h30-20h30 LUN. JEU. 1 MARS AU 1 DEC.","03-01","12-01",,19.5,20.5,1,1,,,1,,,,,,
113,"SB-FA-A","\P 19h30-20h30 LUN. JEU. 1 AVRIL AU 1 DEC.","04-01","12-01",,19.5,20.5,1,1,,,1,,,,,,
114,"SB-JA","\P 08h-09h LUN. JEU. 1 MARS AU 1 DEC.","03-01","12-01",,8,9,1,1,,,1,,,,,,
115,"SB-JA-A","\P 08h-09h LUN. JEU. 1 AVRIL AU 1 DEC.","04-01","12-01",,8,9,1,1,,,1,,,,,,
116,"SB-JA-A+F","\P 08h-09h LUN. JEU. 1 AVRIL AU 1 DEC.","04-01","12-01",,8,9,1,1,,,1,,,,,,
117,"SB-JB","\P 08h30-09h30 LUN. JEU. 1 MARS AU 1 DEC.","03-01","12-01",,8.5,9.5,1,1,,,1,,,,,,
118,"SB-JB-A","\P 08h30-09h30 LUN. JEU. 1 AVRIL AU 1 DEC.","04-01","12-01",,8.5,9.5,1,1,,,1,,,,,,
119,"SB-JC","\P 09h-10h LUN. JEU. 1 MARS AU 1 DEC.","03-01","12-01",,9,10,1,1,,,1,,,,,,
120,"SB-JC-A","\P 09h-10h LUN. JEU. 1 AVRIL AU 1 DEC.","04-01","12-01",,9,10,1,1,,,1,,,,,,
121,"SB-JD","\P 09h30-10h30 LUN. JEU. 1 MARS AU 1 DEC.","03-01","12-01",,9.5,10.5,1,1,,,1,,,,,,
122,"SB-JD-A","\P 09h30-10h30 LUN. JEU. 1 AVRIL AU 1 DEC.","04-01","12-01",,9.5,10.5,1,1,,,1,,,,,,
123,"SB-JE","\P 10h-11h LUN. JEU. 1 MARS AU 1 DEC.","03-01","12-01",,10,11,1,1,,,1,,,,,,
124,"SB-JE-A","\P 10h-11h LUN. JEU. 1 AVRIL AU 1 DEC.","04-01","12-01",,10,11,1,1,,,1,,,,,,
125,"SB-JF","\P 10h30-11h30 LUN. JEU. 1 MARS AU 1 DEC.","03-01","12-01",,10.5,11.5,1,1,,,1,,,,,,
126,"SB-JF-A","\P 10h30-11h30 LUN. JEU. 1 AVRIL AU 1 DEC.","04-01","12-01",,10.5,11.5,1,1,,,1,,,,,,
127,"SB-JG","\P 11h-12h LUN. JEU. 1 MARS AU 1 DEC.","03-01","12-01",,11,12,1,1,,,1,,,,,,
128,"SB-JH","\P 11h30-12h30 LUN. JEU. 1 MARS AU 1 DEC.","03-01","12-01",,11.5,12.5,1,1,,,1,,,,,,
129,"SB-JH-A","\P 11h30-12h30 LUN. JEU. 1 AVRIL AU 1 DEC.","04-01","12-01",,11.5,12.5,1,1,,,1,,,,,,
130,"SB-JI","\P 09h30-17h MAR. VEN.",,,,9.5,17,7.5,,1,,,1,,,,,
131,"SB-JJ","\P 12h-13h LUN. JEU. 1 MARS AU 1 DEC.","03-01","12-01",,12,13,1,1,,,1,,,,,,
132,"SB-JJ-A","\P 12h-13h LUN. JEU. 1 AVRIL AU 1 DEC.","04-01","12-01",,12,13,1,1,,,1,,,,,,
133,"SB-JK","\P 12h30-13h30 LUN. JEU. 1 MARS AU 1 DEC.","03-01","12-01",,12.5,13.5,1,1,,,1,,,,,,
134,"SB-JK-A","\P 12h30-13h30 LUN. JEU. 1 AVRIL AU 1 DEC.","04-01","12-01",,12.5,13.5,1,1,,,1,,,,,,
135,"SB-JL","\P 09h-17h MAR. VEN.",,,,9,17,8,,1,,,1,,,,,
136,"SB-JM","\P 13h30-14h30 LUN. JEU. 1 MARS AU 1 DEC.","03-01","12-01",,13.5,14.5,1,1,,,1,,,,,,
137,"SB-JM-A","\P 13h30-14h30 LUN. JEU. 1 AVRIL AU 1 DEC.","04-01","12-01",,13.5,14.5,1,1,,,1,,,,,,
138,"SB-JN","\P 09h-18h MAR. JEU.",,,,9,18,9,,1,,1,,,,,,
139,"SB-JO","\P 14h30-15h30 LUN. JEU. 1 MARS AU 1 DEC.","03-01","12-01",,14.5,15.5,1,1,,,1,,,,,,
140,"SB-JO-A","\P 14h30-15h30 LUN. JEU. 1AVRIL AU 1 DEC.","04-01","12-01",,14.5,15.5,1,1,,,1,,,,,,
141,"SB-JR","\P 16h-17h LUN. JEU. 1 MARS AU 1 DEC.","03-01","12-01",,16,17,1,1,,,1,,,,,,
142,"SB-JS","\P 13h-14h LUN. JEU. 1 MARS AU 1 DEC.","03-01","12-01",,13,14,1,1,,,1,,,,,,
143,"SB-JS-A","\P 13h-14h LUN. JEU. 1 AVRIL AU 1 DEC.","04-01","12-01",,13,14,1,1,,,1,,,,,,
144,"SB-JT","\P 14h-15h LUN. JEU. 1 MARS AU 1 DEC.","03-01","12-01",,14,15,1,1,,,1,,,,,,
145,"SB-JT-A","\P 14h-15h LUN. JEU. 1 AVRIL AU 1 DEC.","04-01","12-01",,14,15,1,1,,,1,,,,,,
146,"SB-JU","\P 17h30-18h30 LUN. JEU. 1 MARS AU 1 DEC.","03-01","12-01",,17.5,18.5,1,1,,,1,,,,,,
147,"SB-JU-A","\P 17h30-18h30 LUN. JEU. 1 AVRIL AU 1 DEC.","04-01","12-01",,17.5,18.5,1,1,,,1,,,,,,
148,"SB-JV","\P 09h-17h MAR. JEU.",,,,9,17,8,,1,,1,,,,,,
149,"SB-JW","\P 17h-18h LUN. JEU. 1 MARS AU 1 DEC.","03-01","12-01",,17,18,1,1,,,1,,,,,,
150,"SB-JW-A","\P 17h-18h LUN. JEU. 1 AVRIL AU 1 DEC.","04-01","12-01",,17,18,1,1,,,1,,,,,,
151,"SB-JX","\P 08h-09h LUN. VEN. 1 MARS AU 1 DEC.","03-01","12-01",,8,9,1,1,,,,1,,,,,
152,"SB-JY","\P 16h30-17h30 MAR. VEN. 1 MARS AU 1 DEC.","03-01","12-01",,16.5,17.5,1,,1,,,1,,,,,
153,"SB-JZ","\P 08h-16h MAR. JEU.",,,,8,16,8,,1,,1,,,,,,
154,"SB-KA-A+F","\P 16h-18h30 LUN. MER. 1 AVRIL AU 1 DEC","04-01","12-01",,16,18.5,2.5,1,,1,,,,,,,
155,"SB-LA","\P 08h-09h LUN. MER. 1 MARS AU 1 DEC.",,,,8,9,1,1,,1,,,,,,,
156,"SB-LA-A","\P 08h-09h LUN. MER. 1 AVRIL AU 1 DEC.",,,,8,9,1,1,,1,,,,,,,
157,"SB-LA-A+F","\P 08h-09h LUN. MER. 1 AVRIL AU 1 DEC.","04-01","12-01",,8,9,1,1,,1,,,,,,,
158,"SB-LB-A","\P 08h30-09h30 LUN. MER. 1 AVRIL AU 1 DEC.","04-01","12-01",,8.5,9.5,1,1,,1,,,,,,,
159,"SB-LB-A+F","\P 08h30-09h30 LUN. MER. 1 AVRIL AU 1 DEC.","04-01","12-01",,8.5,9.5,1,1,,1,,,,,,,
160,"SB-LC","\P 09h-10h LUN. MER. 1 MARS AU 1 DEC.","03-01","12-01",,9,10,1,1,,1,,,,,,,
161,"SB-LC-A","\P 09h-10h LUN. MER. 1 AVRIL AU 1 DEC.","04-01","12-01",,9,10,1,1,,1,,,,,,,
162,"SB-LD","\P 09h30-10h30 LUN. MER. 1 MARS AU 1 DEC.","03-01","12-01",,9.5,10.5,1,1,,1,,,,,,,
163,"SB-LE-A","\P 10h-11h LUN. MER. 1 AVRIL AU 1 DEC.","04-01","12-01",,10,11,1,1,,1,,,,,,,
164,"SB-LF","\P 10h30-11h30 LUN. MER. 1 MARS AU 1 DEC.","03-01","12-01",,10.5,11.5,1,1,,1,,,,,,,
165,"SB-LF-A","\P 10h30-11h30 LUN. MER. 1 AVRIL AU 1 DEC.","04-01","12-01",,10.5,11.5,1,1,,1,,,,,,,
166,"SB-LH","\P 11h30-12h30 LUN. MER. 1 MARS AU 1 DEC.","03-01","12-01",,11.5,12.5,1,1,,1,,,,,,,
