name,operator,address,description,lun_normal,mar_normal,mer_normal,jeu_normal,ven_normal,sam_normal,dim_normal,hourly_normal,daily_normal,max_normal,lun_special,mar_special,mer_special,jeu_special,ven_special,sam_special,dim_special,hourly_special,daily_special,max_special,lun_free,mar_free,mer_free,jeu_free,ven_free,sam_free,dim_free,daily_free,indoor,handicap,card,valet,lat,long,capacity,street_view_lat,street_view_long,street_view_head,street_view_id,active
#191 Saint-André,Stationnement de Montréal,7121 rue Saint-André,,"6,24","6,24","6,24","6,24","6,24","6,24","6,24",2.5,,10,,,,,,,,,,,"0,6","0,6","0,6","0,6","0,6","0,6","0,6",10,FALSE,FALSE,TRUE,FALSE,45.540844,-73.611916,45,45.5407973,-73.6124034,42.93,tzHa5n-Jpo_Ak-QCT110tg,TRUE
#197 Hôpital Notre-Dame,Stationnement de Montréal,3410 avenue Émile-Duployé,,"6,24","6,24","6,24","6,24","6,24","6,24","6,24",3.5,,14,,,,,,,,,,,"0,6","0,6","0,6","0,6","0,6","0,6","0,6",14,FALSE,TRUE,TRUE,FALSE,45.527428,-73.564392,60,45.5270921,-73.5643629,352.42,M2oAxhwv-B8u-agLpqIJhw,TRUE
#207 Notre-Dame Ouest,Stationnement de Montréal,990 rue Notre-Dame Ouest,,"6,24","6,24","6,24","6,24","6,24","6,24","6,24",4,,12,,,,,,,,,,,"0,6","0,6","0,6","0,6","0,6","0,6","0,6",12,FALSE,FALSE,TRUE,FALSE,45.496738,-73.562614,85,45.4966636,-73.5622743,266.76,jY9xhO1qGn4U6AH1FdpraA,TRUE
#216 Parc Lafontaine,Stationnement de Montréal,4153 avenue Papineau,,"6,24","6,24","6,24","6,24","6,24","6,24","6,24",3,,12,,,,,,,,,,,"0,6","0,6","0,6","0,6","0,6","0,6","0,6",12,FALSE,FALSE,TRUE,FALSE,45.530403,-73.569504,20,45.5305084,-73.5693095,183.83,t1SCSBXwroJcF2UdOSKL_A,TRUE
#227 de la Montagne,Stationnement de Montréal,792 rue Lucien-l’Allier,,"17,24","17,24","17,24","17,24","17,24","6,24","6,24",3,,15,,,,,,,,,,,,,,,,"0,6","0,6",15,FALSE,FALSE,TRUE,FALSE,45.494434,-73.569443,100,45.4941593,-73.5697744,74.61,yFL7jHGZiJRTExEuJ4lnUw,TRUE
#234 Berri,Stationnement de Montréal,500 rue Berri,,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",3,,9,,,,,,,,,,,,,,,,,,,FALSE,FALSE,TRUE,FALSE,45.5118623,-73.5525448,30,45.5115488,-73.5519293,339.93,Zbn4XA65ntIvPPJvcyWSZg,TRUE
#243 Parc Angrignon,Stationnement de Montréal,7060 rue Lacroix,,"6,24","6,24","6,24","6,24","6,24","6,24","6,24",3,,9,,,,,,,,,,,"0,6","0,6","0,6","0,6","0,6","0,6","0,6",9,FALSE,TRUE,TRUE,FALSE,45.44577,-73.602104,750,45.4454446,-73.601157,234.2,x1AjFiag5rsbJt8BQ3MwjQ,TRUE
#270 Aréna Saint-Louis,Stationnement de Montréal,5633 rue Saint-Dominique,,"6,17","6,17","6,17","6,17","6,17",,,3,,12,,,,,,,,,,,,,,,,,,,FALSE,FALSE,TRUE,FALSE,45.527756,-73.600067,45,45.5274543,-73.6002802,13.87,4jWNVSbltW4oYJz2GLb6kQ,TRUE
#275 Belvédère,Stationnement de Montréal,1576 voie Camillien-Houde,,"6,24","6,24","6,24","6,24","6,24","6,24","6,24",3,,8,,,,,,,,,,,"0,6","0,6","0,6","0,6","0,6","0,6","0,6",8,FALSE,FALSE,TRUE,FALSE,45.510482,-73.592498,30,45.5098293,-73.591687,333.94,VGhTcVI4tM-PGtRar9d8mg,TRUE
#302 Saint-André,Stationnement de Montréal,6250 rue Saint-André,,"6,24","6,24","6,24","6,24","6,24","6,24","6,24",1.75,,8,,,,,,,,,,,"0,6","0,6","0,6","0,6","0,6","0,6","0,6",8,FALSE,FALSE,TRUE,FALSE,45.535522,-73.600349,25,45.5356761,-73.6002245,163.11,AqmqXqSw0eLEXdZvLwfCPg,TRUE
#303 Saint-André,Stationnement de Montréal,6344 rue Saint-André,,"6,24","6,24","6,24","6,24","6,24","6,24","6,24",1.75,,8,,,,,,,,,,,"0,6","0,6","0,6","0,6","0,6","0,6","0,6",8,FALSE,FALSE,TRUE,FALSE,45.536125,-73.601593,30,45.5362852,-73.6015934,163.87,ewgmde49Rrxy4N8HzqQRNA,TRUE
#311 Beaubien Est,Stationnement de Montréal,909 rue Beaubien Est,,"6,24","6,24","6,24","6,24","6,24","6,24","6,24",1.75,,8,,,,,,,,,,,"0,6","0,6","0,6","0,6","0,6","0,6","0,6",8,FALSE,TRUE,TRUE,FALSE,45.537025,-73.602623,30,45.536986,-73.6022877,242.15,daCdaasHFZjwnt9EXY144w,TRUE
#361 Place-Saint-Henri,Stationnement de Montréal,532 place Saint-Henri,,"6,24","6,24","6,24","6,24","6,24","6,24","6,24",2,,10,,,,,,,,,,,"0,6","0,6","0,6","0,6","0,6","0,6","0,6",10,FALSE,FALSE,TRUE,FALSE,45.477253,-73.58551,60,45.4775543,-73.5852441,227,fQNG_dGn6ydsS3japj5xeQ,TRUE
#400 Mansfield,Stationnement de Montréal,700 rue Mansfield,,"6,24","6,24","6,24","6,24","6,24","6,24","6,24",5,,17,,,,,,,,,,,"0,6","0,6","0,6","0,6","0,6","0,6","0,6",17,FALSE,FALSE,TRUE,FALSE,45.497608,-73.564636,30,45.4978445,-73.564399,260.57,OV-0dlJjPZ_sE3xxI1JE4w,TRUE
#415 Vieux-Montréal,Stationnement de Montréal,50 rue Saint-Jacques,,"6,17","6,17","6,17","6,17","6,17",,,6,,17,"17,24","17,24","17,24","17,24","17,24","6,24","6,24",5,,15,"0,6","0,6","0,6","0,6","0,6","0,6","0,6",17,FALSE,FALSE,TRUE,FALSE,45.5056476,-73.5565674,75,45.5054552,-73.5562655,322.73,V-t1PHhbNt2g1juHFG4IgQ,TRUE
"300, St-Paul",Vinci,"300, rue Saint-Paul Ouest",,"0,24","0,24","0,24","0,24","0,24",,,4,15,,,,,,,"0,24","0,24",4,10,,,,,,,,,,FALSE,TRUE,TRUE,FALSE,45.501519,-73.555856,130,45.5015625,-73.5559301,140.69,oHX5Gzw6arQjmRU4xlPfDw,TRUE
1000 de la Gauchetière,Vinci,"1000, rue de la Gauchetière Ouest",,"0,24","0,24","0,24","0,24","0,24",,,12,23,,,,,,,"0,24","0,24",12,12,,,,,,,,,,TRUE,FALSE,TRUE,FALSE,45.497952,-73.566747,550,45.4979953,-73.566991,86.03,NLLCFrevX5ZjnxQk3jEiOQ,TRUE
1010 Sherbrooke,Vinci,"1010, rue Sherbrooke Ouest",,"0,24","0,24","0,24","0,24","0,24",,,9,18.5,,,,,,,"0,24","0,24",9,8,,,,,,,,,,TRUE,FALSE,TRUE,TRUE,45.502059,-73.575183,200,45.5020913,-73.5750601,173.13,UOZ52UxU-5fwgD8ROL4ERw,TRUE
2001 McGill Coll. Mercantile,Vinci,"2001, avenue McGill College",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",19,21.5,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,45.503899,-73.573334,250,45.5040265,-73.5733559,222.8,zEHutVQlKWlY0LFP44SJcw,TRUE
2020 Robert-Bourassa,Vinci,"2020, boulevard Robert-Bourassa",,"0,24","0,24","0,24","0,24","0,24",,,9,21,,,,,,,"0,24","0,24",9,6,,,,,,,,,,TRUE,FALSE,TRUE,FALSE,45.503808,-73.57287,150,45.5038315,-73.573086,126.35,hcJ90l-0t5TVhlGSD3TYHg,TRUE
500 Place d'Armes,Vinci,500 Place d'Armes,,"0,24","0,24","0,24","0,24","0,24",,,9,18,,,,,,,"0,24","0,24",9,11,,,,,,,,,,TRUE,FALSE,TRUE,TRUE,45.504307,-73.557933,299,45.5043491,-73.5580784,154.76,Lcv4xV3OeHYDydUZjQCaTQ,TRUE
500 René-Lévesque Ouest,Vinci,"500, boulevard René-Lévesque Ouest",,"0,24","0,24","0,24","0,24","0,24",,,8.5,19,,,,,,,"0,24","0,24",,8,,,,,,,,,,TRUE,FALSE,TRUE,FALSE,45.50288,-73.56537,125,45.5026319,-73.5653703,3.99,g5YJfj3PFuZxIldFkrAJTg,TRUE
St-Antoine / St-Urbain,Vinci,"87, rue Saint-Antoine Ouest",,"0,24","0,24","0,24","0,24","0,24",,,,17,,,,,,,"0,24","0,24",,15,,,,,,,,,,FALSE,FALSE,TRUE,FALSE,45.50597,-73.558401,50,45.5058645,-73.5581976,311.83,Hon9JbZubm8ihCIgetxhtg,TRUE
Atwater,Vinci,"2021, avenue Atwater",,"0,24","0,24","0,24","0,24","0,24",,,11,11,,,,,,,"0,24","0,24",6,6,,,,,,,,,,TRUE,FALSE,TRUE,FALSE,45.49085,-73.586287,150,45.4909251,-73.586475,104.79,AVzWQykk4k1kdTXDa0HDNQ,TRUE
Tour le 700 et Banque Nationale,Vinci,"721, avenue Viger Ouest",,"0,24","0,24","0,24","0,24","0,24",,,12.5,24,,,,,,,"0,24","0,24",9,9,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,45.501127,-73.563913,575,45.5010816,-73.5637792,293.11,4CnwB7a2LvgXtaPuZX52qQ,TRUE
Bisson,Vinci,"771, rue Notre-Dame Ouest",,"0,24","0,24","0,24","0,24","0,24",,,13,13,,,,,,,"0,24","0,24",11,11,,,,,,,,,,FALSE,FALSE,TRUE,FALSE,45.499181,-73.561074,350,45.4990105,-73.5609355,330.02,DrEkwNoRiVRxcp8V21YNWQ,TRUE
Institut de Cardiologie,Vinci,"5000, rue Bélanger Est",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",10.5,17.25,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,TRUE,FALSE,45.573982,-73.5792,365,45.5741555,-73.579345,165.47,UhoiRCXs4wlkgw9sXsqBmw,TRUE
Centre Bell,Vinci,"1255, rue Saint-Antoine Ouest",,"0,24","0,24","0,24","0,24","0,24",,,12,12,,,,,,,"0,24","0,24",,12,,,,,,,,,,TRUE,TRUE,FALSE,TRUE,45.495865,-73.568455,600,45.4957666,-73.5682521,268.01,OWZtC0Y254ib2qOqHUi8Bw,TRUE
Centre de Commerce Mondial,Vinci,"747, rue du Square-Victoria",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",10.5,24,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,TRUE,FALSE,45.5024,-73.560879,573,45.5024145,-73.5610413,92.52,o-lKsQ9xSNS1-w21QJ61SA,TRUE
Cité internationale,Vinci,"629, rue Saint-Antoine Ouest ",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",8,19,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,45.500935,-73.562521,360,45.5007906,-73.5624378,355.45,zCn8An2ZeXdRsxyDLc5KLw,TRUE
